Date,Open*,High,Low,Close**,Volume,Market Cap,,,Date,Open*,High,Low,Close**,Volume,Market Cap,,Bitcoin genesis,3-Jan-2009
"August 18, 2019",72.84,77.56,71.67,76.27,"2,743,241,606","4,809,876,077",,,,,,,,,,,,
"August 17, 2019",74.91,75.33,72.27,72.8,"2,482,385,549","4,590,467,351",,,,,,,,,,,,
"August 16, 2019",76.32,77.17,73.07,74.92,"3,016,089,036","4,723,824,771",,,,,,,,,,,,
"August 15, 2019",76.13,78.51,73,76.39,"3,654,075,558","4,815,969,361",,,,,,,,,,,,
"August 14, 2019",84.42,85.55,75.96,76.06,"3,093,090,406","4,794,992,635",,,,,,,,,,,,
"August 13, 2019",85.75,86.32,83.35,84.41,"2,681,787,838","5,320,229,477",,,,,,,,,,,,
"August 12, 2019",89.7,89.71,85.63,85.75,"2,716,187,719","5,404,272,824",,,,,,,,,,,,
"August 11, 2019",85.45,91.03,85.45,89.75,"3,025,787,942","5,655,924,170",,,,,,,,,,,,
"August 10, 2019",84.39,87.11,83.14,85.42,"3,088,060,147","5,382,272,086",,,,,,,,,,,,
"August 9, 2019",90.09,90.36,83.49,84.44,"3,003,278,177","5,319,984,195",,,,,,,,,,,,
"August 8, 2019",90.91,91.72,88.5,90.03,"3,034,717,882","5,671,748,769",,,,,,,,,,,,
"August 7, 2019",93.04,93.74,88.54,90.91,"3,105,989,436","5,726,708,990",,,,,,,,,,,,
"August 6, 2019",96.89,98.98,91.66,93.07,"3,245,339,849","5,861,986,121",,,,,,,,,,,,
"August 5, 2019",93.09,105.59,93.09,96.83,"4,134,352,823","6,098,470,159",,,,,,,,,,,,
"August 4, 2019",94.6,95.39,91.45,93.2,"2,427,608,117","5,868,857,449",,,,,,,,,,,,
"August 3, 2019",95.02,96.84,94.16,94.58,"2,512,959,054","5,954,227,577",,,,,,,,,,,,
"August 2, 2019",99.2,99.2,93.54,94.94,"2,882,784,454","5,975,497,672",,,,,,,,,,,,
"August 1, 2019",98.57,100.26,95.98,99.18,"2,953,184,689","6,240,801,535",,,,,,,,,,,,
"July 31, 2019",90.47,99.48,90.33,98.51,"3,051,471,469","6,197,337,878",,,,,,,,,,,,
"July 30, 2019",90.47,92.19,89.02,90.57,"2,302,521,844","5,696,275,523",,,,,,,,,,,,
"July 29, 2019",89.77,91.39,88.57,90.43,"2,457,824,867","5,686,062,706",,,,,,,,,,,,
"July 28, 2019",88.89,90.41,85.35,89.77,"2,460,180,908","5,643,415,873",,,,,,,,,,,,
"July 27, 2019",94.32,95.65,87.7,88.89,"2,626,517,608","5,586,678,799",,,,,,,,,,,,
"July 26, 2019",93.41,94.55,90.75,94.31,"2,260,844,511","5,925,662,076",,,,,,,,,,,,
"July 25, 2019",94.36,95.85,92.47,93.45,"2,690,273,677","5,870,441,888",,,,,,,,,,,,
"July 24, 2019",90.46,96.42,88.15,94.31,"3,247,150,970","5,923,434,071",,,,,,,,,,,,
"July 23, 2019",95.41,95.48,89.44,90.62,"2,700,924,026","5,690,513,769",,,,,,,,,,,,
"July 22, 2019",99.56,100.25,92.3,95.42,"2,693,989,249","5,990,269,582",,,,,,,,,,,,
"July 21, 2019",100.51,101.47,96.95,99.63,"2,829,054,215","6,253,213,998",,,,,,,,,,,,
"July 20, 2019",98.46,104.61,97.71,100.61,"3,771,308,934","6,313,476,233",,,,,,,,,,,,
"July 19, 2019",101.08,101.18,95.72,98.4,"3,983,990,085","6,173,653,347",,,,,,,,,,,,
"July 18, 2019",89.69,103.15,87.45,101.09,"4,890,332,056","6,340,559,063",,,,,,,,,,,,
"July 17, 2019",79.41,93.05,77.5,89.81,"4,616,360,556","5,632,042,532",,,,,,,,,,,,
"July 16, 2019",90.9,92.06,77.5,79.5,"3,703,346,636","4,984,318,767",,,,,,,,,,,,
"July 15, 2019",89.86,92.63,85.68,90.92,"3,570,361,793","5,699,307,530",,,,,,,,,,,,
"July 14, 2019",101.11,101.68,88.81,89.77,"3,717,531,246","5,625,773,339",,,,,,,,,,,,
"July 13, 2019",105.29,105.59,98.01,101.02,"3,353,538,171","6,329,505,235",,,,,,,,,,,,
"July 12, 2019",102.83,106.36,101.21,105.3,"3,611,846,208","6,595,612,500",,,,,,,,,,,,
"July 11, 2019",108.57,108.57,97.28,102.64,"4,633,853,162","6,427,725,958",,,,,,,,,,,,
"July 10, 2019",119.5,120.1,103.82,108.5,"4,699,511,838","6,792,744,022",,,,,,,,,,,,
"July 9, 2019",123.25,124.17,118.23,119.43,"3,785,641,025","7,475,393,728",,,,,,,,,,,,
"July 8, 2019",120.28,125.08,118.6,123.29,"3,803,750,017","7,714,781,783",,,,,,,,,,,,
